Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
42,old,Female,Shorts,Outerwear,160,New York,S,Violet,Summer,2.7,Yes,Debit Card,Next Day Air,No,No,27,PayPal,Quarterly
43,middle,Male,Gloves,Footwear,164,Arkansas,M,Gold,Spring,2.4,No,Credit Card,Free Shipping,Yes,Yes,90,Bank Transfer,Quarterly
44,youth,Female,Skirt,Clothing,178,Connecticut,S,Indigo,Fall,2.6,Yes,Venmo,Standard,No,No,41,Credit Card,Quarterly
45,old,Male,Sneakers,Footwear,168,Indiana,XL,Brown,Fall,2.9,No,PayPal,Free Shipping,No,No,82,Debit Card,Annually
46,middle,Female,Jeans,Footwear,195,Louisiana,M,Indigo,Summer,1.4,No,Cash,Standard,Yes,No,70,Credit Card,Annually
47,middle,Male,Handbag,Clothing,146,Connecticut,S,Yellow,Summer,3.8,No,Venmo,Next Day Air,No,Yes,39,Credit Card,Bi-Weekly
48,middle,Male,Socks,Outerwear,171,California,S,Blue,Spring,1.5,No,Venmo,Store Pickup,No,Yes,34,Bank Transfer,Fortnightly
49,old,Female,Scarf,Outerwear,83,Texas,L,White,Fall,1.9,Yes,Credit Card,Express,Yes,Yes,71,Credit Card,Fortnightly
50,youth,Male,T-shirt,Footwear,185,Nebraska,M,Violet,Fall,1.6,Yes,PayPal,Store Pickup,Yes,No,90,Bank Transfer,Annually
51,youth,Male,Shoes,Clothing,99,Utah,M,Green,Winter,2.2,No,PayPal,2-Day Shipping,Yes,No,11,Cash,Every 3 Months
52,middle,Male,Scarf,Clothing,71,Virginia,S,Blue,Summer,3.3,Yes,Credit Card,Standard,No,Yes,54,Credit Card,Weekly
53,youth,Male,Boots,Clothing,135,Nevada,S,Turquoise,Spring,2.4,No,Venmo,Express,No,No,90,PayPal,Weekly
54,youth,Female,Dress,Outerwear,84,Louisiana,L,Gold,Winter,2.9,Yes,Bank Transfer,Express,No,No,25,Credit Card,Annually
55,old,Male,Sandals,Footwear,87,Massachusetts,XL,Beige,Winter,4,No,Cash,Standard,No,Yes,37,PayPal,Every 3 Months
56,middle,Female,Handbag,Accessories,13,Utah,XL,White,Summer,4.1,No,Debit Card,2-Day Shipping,Yes,Yes,46,Credit Card,Every 3 Months
57,youth,Female,Blouse,Footwear,119,Ohio,M,Black,Winter,2.4,Yes,Venmo,Store Pickup,No,No,28,Debit Card,Quarterly
58,old,Male,Shorts,Outerwear,23,Washington,L,Magenta,Winter,4.5,Yes,Venmo,Standard,No,No,66,Venmo,Fortnightly
59,youth,Male,Hoodie,Accessories,164,West Virginia,XL,Maroon,Winter,4.7,No,Venmo,Free Shipping,Yes,Yes,24,PayPal,Monthly
60,old,Female,Hat,Accessories,191,West Virginia,M,Magenta,Spring,4.3,No,Venmo,Standard,No,No,70,Bank Transfer,Monthly
61,youth,Male,Shorts,Clothing,13,Arizona,M,Cyan,Fall,2.2,Yes,Cash,Next Day Air,Yes,No,19,Debit Card,Weekly
62,old,Female,Pants,Outerwear,185,South Dakota,M,Charcoal,Spring,4.6,No,PayPal,Store Pickup,Yes,No,26,Debit Card,Weekly
63,youth,Female,Shirt,Clothing,127,Louisiana,L,Silver,Winter,1.8,Yes,Debit Card,Standard,No,Yes,77,Credit Card,Monthly
64,youth,Female,Backpack,Clothing,30,California,M,Violet,Summer,1.5,Yes,Bank Transfer,Express,Yes,Yes,50,Debit Card,Quarterly
65,youth,Male,Blouse,Footwear,25,Oklahoma,M,Orange,Spring,1.6,No,PayPal,2-Day Shipping,No,Yes,87,Credit Card,Monthly
66,youth,Male,Blouse,Clothing,64,Idaho,S,Olive,Summer,1.2,Yes,Bank Transfer,Express,Yes,No,50,Bank Transfer,Every 3 Months
67,middle,Female,Sandals,Outerwear,134,Illinois,L,Silver,Spring,1.2,Yes,Bank Transfer,2-Day Shipping,Yes,No,59,PayPal,Quarterly
68,youth,Female,Pants,Clothing,197,West Virginia,XL,Gray,Summer,2.7,No,Cash,Store Pickup,Yes,Yes,86,Venmo,Bi-Weekly
69,old,Female,Blouse,Outerwear,115,Virginia,L,Gold,Summer,2.5,No,PayPal,Next Day Air,No,No,97,PayPal,Quarterly
70,youth,Male,Boots,Outerwear,98,New Jersey,L,Cyan,Summer,2.7,Yes,Venmo,2-Day Shipping,No,Yes,83,Cash,Bi-Weekly
71,middle,Female,Skirt,Footwear,24,North Carolina,S,Peach,Winter,1,Yes,PayPal,Store Pickup,Yes,No,19,Venmo,Monthly
72,middle,Male,T-shirt,Clothing,170,South Carolina,L,Gray,Winter,3.5,No,Credit Card,Free Shipping,No,No,54,Cash,Fortnightly
73,middle,Male,Boots,Outerwear,11,Wyoming,M,Teal,Spring,3.7,No,Debit Card,2-Day Shipping,Yes,No,17,Venmo,Annually
74,youth,Female,Hat,Footwear,142,Oklahoma,S,Pink,Winter,2.3,No,PayPal,Free Shipping,Yes,No,79,Venmo,Quarterly
75,middle,Male,Socks,Footwear,139,South Dakota,S,Beige,Fall,3,Yes,Cash,Free Shipping,Yes,No,94,Debit Card,Every 3 Months
76,middle,Female,Jewelry,Clothing,107,Wisconsin,S,Violet,Spring,2.3,Yes,Bank Transfer,Express,No,No,95,Bank Transfer,Monthly
77,youth,Female,T-shirt,Clothing,191,Missouri,XL,White,Winter,4.3,No,PayPal,Next Day Air,Yes,No,18,Bank Transfer,Bi-Weekly
78,youth,Female,Sweater,Footwear,180,South Dakota,M,Beige,Fall,2.2,No,Bank Transfer,Free Shipping,Yes,No,15,Debit Card,Annually
79,old,Female,Shirt,Clothing,23,North Dakota,M,Gray,Spring,4,No,Cash,2-Day Shipping,No,No,36,PayPal,Fortnightly
80,middle,Female,Sweater,Footwear,76,Oklahoma,XL,Beige,Summer,2.6,Yes,Cash,Next Day Air,Yes,Yes,81,PayPal,Fortnightly
81,youth,Male,Blouse,Accessories,140,Minnesota,L,Teal,Summer,3.6,Yes,Cash,Free Shipping,Yes,Yes,46,PayPal,Fortnightly
82,youth,Female,Gloves,Outerwear,138,New Jersey,S,Olive,Winter,4.3,No,Venmo,2-Day Shipping,Yes,No,99,Bank Transfer,Weekly
83,old,Female,Boots,Clothing,39,Connecticut,S,Red,Winter,1.3,No,Debit Card,Standard,No,Yes,92,Credit Card,Fortnightly
84,old,Female,Dress,Clothing,75,Mississippi,XL,Magenta,Summer,2.7,Yes,Cash,Free Shipping,Yes,No,30,PayPal,Monthly
85,middle,Male,Jeans,Outerwear,101,Alaska,XL,Gray,Fall,2.7,Yes,Credit Card,Express,Yes,No,29,Venmo,Every 3 Months
86,youth,Female,Pants,Footwear,57,California,M,Silver,Fall,2.2,Yes,Credit Card,Standard,Yes,No,23,Debit Card,Every 3 Months
87,old,Female,Sunglasses,Footwear,195,Michigan,XL,Gray,Fall,2,No,Debit Card,Standard,No,Yes,81,PayPal,Fortnightly
88,middle,Female,Belt,Clothing,61,Wyoming,XL,Olive,Spring,2.6,No,Debit Card,Standard,Yes,Yes,23,Debit Card,Weekly
89,middle,Male,Backpack,Clothing,122,Mississippi,M,Beige,Spring,3.8,No,Cash,Free Shipping,Yes,No,42,Credit Card,Weekly
90,old,Female,Sandals,Accessories,18,New Hampshire,M,Teal,Spring,4.5,No,Debit Card,Store Pickup,Yes,No,24,Bank Transfer,Annually
91,youth,Male,Jewelry,Footwear,91,Massachusetts,XL,Orange,Spring,2.3,No,Cash,2-Day Shipping,Yes,No,62,PayPal,Annually
92,youth,Female,Gloves,Footwear,32,North Carolina,L,Gray,Spring,1.2,Yes,Debit Card,Express,Yes,No,93,Credit Card,Annually
93,old,Female,Gloves,Outerwear,122,South Dakota,L,Pink,Winter,2.3,Yes,PayPal,Next Day Air,No,Yes,35,Credit Card,Weekly
94,youth,Female,Sweater,Footwear,186,Massachusetts,M,Lavender,Winter,4.1,No,Debit Card,Store Pickup,No,Yes,94,Credit Card,Bi-Weekly
95,middle,Female,Jacket,Accessories,43,Texas,M,Blue,Spring,3.5,Yes,Bank Transfer,Next Day Air,Yes,Yes,52,PayPal,Fortnightly
96,middle,Female,Backpack,Footwear,15,Tennessee,L,Black,Winter,4.9,Yes,Cash,Free Shipping,Yes,Yes,38,Debit Card,Every 3 Months
97,old,Male,Hat,Outerwear,36,South Dakota,S,Black,Fall,3.8,No,Bank Transfer,Next Day Air,No,No,52,Cash,Bi-Weekly
98,youth,Female,Skirt,Accessories,111,Florida,XL,Pink,Summer,1.3,No,Credit Card,Express,No,Yes,69,Cash,Bi-Weekly
99,middle,Female,Scarf,Clothing,18,New Hampshire,S,Blue,Fall,3.6,Yes,Venmo,2-Day Shipping,No,No,12,Cash,Fortnightly
100,old,Female,Jewelry,Outerwear,110,Colorado,M,Black,Winter,1.5,Yes,Credit Card,2-Day Shipping,Yes,No,53,Debit Card,Annually
101,old,Male,Sunglasses,Footwear,198,Hawaii,S,Indigo,Summer,1.8,Yes,Venmo,Store Pickup,Yes,No,58,Venmo,Fortnightly
102,old,Female,Skirt,Outerwear,64,Indiana,M,Orange,Winter,3.8,No,PayPal,Store Pickup,No,No,39,Venmo,Annually
103,middle,Female,Scarf,Footwear,95,West Virginia,S,Magenta,Spring,4.9,Yes,Bank Transfer,Standard,Yes,No,19,PayPal,Annually
104,middle,Male,Skirt,Clothing,18,Michigan,S,Red,Spring,3,No,Venmo,Next Day Air,Yes,No,14,Credit Card,Weekly
105,middle,Female,Boots,Clothing,126,Mississippi,M,White,Summer,1.9,No,Venmo,2-Day Shipping,Yes,No,59,Bank Transfer,Weekly
106,youth,Female,Shorts,Footwear,169,Connecticut,M,Black,Winter,2.1,Yes,PayPal,Next Day Air,No,Yes,10,Bank Transfer,Bi-Weekly
107,old,Male,Shoes,Outerwear,107,Nebraska,XL,Charcoal,Summer,3.7,No,Credit Card,Express,No,Yes,55,Debit Card,Annually
108,youth,Female,Shoes,Outerwear,71,Washington,S,Brown,Summer,1.6,No,PayPal,Free Shipping,No,No,68,Cash,Fortnightly
109,old,Male,Blouse,Accessories,76,Louisiana,S,Silver,Fall,1.5,No,PayPal,Next Day Air,No,Yes,55,Debit Card,Monthly
110,youth,Male,Pants,Outerwear,34,Maine,M,Gray,Winter,1.9,No,Cash,Next Day Air,No,Yes,56,Venmo,Annually
111,youth,Male,Jeans,Footwear,105,Hawaii,S,Indigo,Winter,4.6,No,Cash,2-Day Shipping,Yes,Yes,41,PayPal,Monthly
112,middle,Male,Blouse,Footwear,30,Mississippi,M,Blue,Fall,3.3,Yes,PayPal,Standard,No,No,54,Bank Transfer,Quarterly
113,middle,Male,Scarf,Accessories,146,Alabama,XL,Beige,Winter,4,Yes,Cash,Store Pickup,No,Yes,70,Debit Card,Monthly
114,middle,Female,Scarf,Clothing,14,Massachusetts,L,Cyan,Spring,4.2,No,Debit Card,Express,Yes,Yes,31,Bank Transfer,Weekly
115,middle,Female,Belt,Outerwear,193,Kentucky,L,Silver,Winter,2.5,Yes,Venmo,Express,Yes,No,32,Venmo,Weekly
116,youth,Male,Pants,Accessories,170,Oregon,M,Gold,Summer,4.2,No,Credit Card,Store Pickup,Yes,Yes,36,Cash,Fortnightly
117,youth,Male,Handbag,Accessories,126,Michigan,S,Magenta,Spring,3.1,Yes,Venmo,Express,No,Yes,89,Debit Card,Every 3 Months
118,youth,Male,Belt,Accessories,171,South Carolina,XL,Charcoal,Summer,3.6,No,Bank Transfer,Store Pickup,No,No,59,Credit Card,Monthly
119,old,Male,Boots,Outerwear,64,New Hampshire,S,Beige,Fall,1.2,No,Credit Card,Next Day Air,Yes,No,47,Debit Card,Annually
120,middle,Female,T-shirt,Accessories,180,South Dakota,XL,White,Fall,4.3,No,Debit Card,2-Day Shipping,No,No,22,Debit Card,Monthly
121,youth,Male,Jeans,Footwear,194,North Carolina,M,Silver,Spring,2.6,No,Credit Card,Express,No,No,60,Credit Card,Monthly
122,youth,Male,Sandals,Clothing,65,Washington,L,Violet,Winter,3.2,Yes,Bank Transfer,Free Shipping,Yes,Yes,98,Bank Transfer,Weekly
123,old,Male,Sandals,Accessories,137,Utah,XL,Indigo,Summer,3.9,No,Debit Card,Next Day Air,Yes,Yes,60,Bank Transfer,Monthly
124,middle,Male,Shorts,Accessories,51,Oregon,S,Brown,Winter,2,No,Venmo,Next Day Air,Yes,Yes,14,Bank Transfer,Annually
125,old,Male,Shoes,Clothing,18,Louisiana,XL,Peach,Summer,2.8,Yes,Debit Card,Next Day Air,No,No,35,Cash,Weekly
126,middle,Male,Belt,Clothing,31,Rhode Island,M,Brown,Spring,3.5,Yes,Bank Transfer,Express,Yes,No,28,PayPal,Bi-Weekly
127,youth,Female,Jeans,Accessories,21,California,M,Charcoal,Summer,4.6,Yes,Venmo,2-Day Shipping,Yes,Yes,62,Venmo,Fortnightly
128,old,Female,Shoes,Clothing,72,Utah,XL,Brown,Summer,2.9,Yes,Venmo,Next Day Air,No,No,72,Venmo,Bi-Weekly
129,youth,Female,Sandals,Clothing,18,Florida,L,Magenta,Winter,4.3,No,PayPal,Next Day Air,No,No,52,Credit Card,Weekly
130,youth,Female,Gloves,Outerwear,15,Wisconsin,L,Yellow,Fall,1.5,Yes,Venmo,2-Day Shipping,Yes,No,25,Credit Card,Fortnightly
131,middle,Male,Sandals,Outerwear,193,Kansas,XL,Silver,Winter,2.4,Yes,Credit Card,Standard,No,No,80,PayPal,Quarterly
132,youth,Female,Pants,Outerwear,97,Wisconsin,XL,Black,Winter,4.5,No,Venmo,Next Day Air,No,No,57,Debit Card,Monthly
133,middle,Male,Scarf,Outerwear,113,Washington,L,Red,Spring,3.9,No,Credit Card,Express,No,Yes,43,Bank Transfer,Quarterly
134,youth,Female,Jewelry,Accessories,191,Tennessee,XL,Purple,Winter,3.9,No,Venmo,Express,Yes,Yes,99,PayPal,Annually
135,middle,Male,Dress,Footwear,75,Delaware,M,Indigo,Spring,1,No,Credit Card,Free Shipping,No,Yes,25,Credit Card,Bi-Weekly
136,old,Male,Hoodie,Clothing,146,California,M,Maroon,Spring,2.3,No,Credit Card,Next Day Air,No,No,46,PayPal,Fortnightly
137,old,Male,Dress,Footwear,34,Maine,XL,Black,Spring,4.8,No,PayPal,Free Shipping,No,Yes,32,Debit Card,Annually
138,old,Female,Handbag,Outerwear,199,Tennessee,S,Gold,Summer,1.8,Yes,Cash,Standard,Yes,Yes,40,Credit Card,Every 3 Months
139,old,Female,Jeans,Outerwear,193,Kentucky,L,Orange,Spring,4.3,Yes,PayPal,2-Day Shipping,No,No,62,Bank Transfer,Weekly
140,youth,Female,Boots,Clothing,158,Ohio,L,Red,Winter,4.4,Yes,Credit Card,Standard,No,Yes,33,Venmo,Fortnightly
141,middle,Female,Hoodie,Clothing,29,Michigan,M,Gray,Summer,1.9,No,Venmo,Standard,No,Yes,58,Credit Card,Weekly
142,old,Female,Pants,Outerwear,132,South Carolina,M,White,Winter,3.7,No,Venmo,Standard,Yes,No,76,Bank Transfer,Fortnightly
143,old,Female,Gloves,Clothing,37,South Carolina,S,Olive,Spring,3.8,No,PayPal,Free Shipping,Yes,Yes,95,Venmo,Bi-Weekly
144,youth,Male,Boots,Clothing,184,Maine,S,Pink,Summer,2.9,Yes,Venmo,Standard,Yes,Yes,12,PayPal,Bi-Weekly
145,youth,Female,Jewelry,Accessories,170,Virginia,XL,Red,Fall,1.2,Yes,Venmo,Store Pickup,Yes,Yes,98,PayPal,Annually
146,youth,Female,Shirt,Outerwear,34,Delaware,M,Yellow,Fall,2.3,Yes,Bank Transfer,Standard,No,Yes,49,Debit Card,Bi-Weekly
147,youth,Female,Sneakers,Footwear,158,Georgia,S,Green,Fall,4.3,No,PayPal,Standard,No,No,83,Debit Card,Quarterly
148,old,Female,Coat,Footwear,144,Delaware,XL,Black,Winter,1.5,Yes,Debit Card,Free Shipping,Yes,No,14,Debit Card,Weekly
149,youth,Male,Belt,Accessories,119,Virginia,L,Magenta,Fall,4.2,No,PayPal,Express,Yes,No,25,Credit Card,Bi-Weekly
150,old,Male,Belt,Outerwear,29,Wyoming,L,Indigo,Fall,2.1,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,95,Cash,Every 3 Months
151,middle,Female,Socks,Accessories,115,North Carolina,XL,Purple,Winter,2.1,No,Credit Card,Express,No,No,84,Venmo,Weekly
152,old,Female,Backpack,Footwear,130,South Carolina,L,Blue,Fall,4.8,No,Venmo,Standard,Yes,Yes,55,Debit Card,Bi-Weekly
153,middle,Male,Jewelry,Accessories,25,Delaware,S,Maroon,Fall,2.5,No,Credit Card,Express,Yes,Yes,42,Bank Transfer,Quarterly
154,youth,Male,Gloves,Footwear,159,Montana,M,Teal,Winter,5,No,PayPal,Standard,No,Yes,41,PayPal,Bi-Weekly
155,old,Female,Shoes,Clothing,177,Alabama,S,Brown,Spring,2.6,Yes,Debit Card,Express,No,Yes,85,Bank Transfer,Fortnightly
156,old,Male,Coat,Accessories,32,Pennsylvania,M,Yellow,Winter,3.6,No,Debit Card,Express,Yes,No,85,Cash,Monthly
157,youth,Female,Dress,Clothing,188,Nevada,L,Pink,Fall,2.1,Yes,Credit Card,2-Day Shipping,No,No,76,Debit Card,Fortnightly
158,middle,Female,Sandals,Outerwear,194,Louisiana,XL,Maroon,Summer,2.9,Yes,Cash,2-Day Shipping,Yes,Yes,43,Bank Transfer,Fortnightly
159,old,Female,Jacket,Clothing,43,Hawaii,L,Turquoise,Fall,2.6,No,Credit Card,Express,No,No,53,Cash,Bi-Weekly
160,youth,Female,Gloves,Accessories,128,South Carolina,M,Charcoal,Spring,1.1,Yes,Cash,Free Shipping,Yes,No,65,Bank Transfer,Fortnightly
161,middle,Female,Blouse,Outerwear,10,New Jersey,XL,Charcoal,Summer,2.3,Yes,Venmo,Next Day Air,No,No,75,Credit Card,Bi-Weekly
162,middle,Male,Skirt,Clothing,95,Oklahoma,M,Beige,Fall,2.1,Yes,Cash,Standard,Yes,Yes,22,Debit Card,Every 3 Months
163,middle,Male,Shoes,Footwear,171,Ohio,L,Pink,Winter,4.3,Yes,Venmo,2-Day Shipping,Yes,Yes,97,Debit Card,Fortnightly
164,old,Female,Jeans,Accessories,104,Utah,XL,Purple,Spring,2.9,Yes,Credit Card,2-Day Shipping,No,Yes,29,Credit Card,Weekly
165,middle,Male,T-shirt,Clothing,39,New York,L,Green,Spring,4.8,No,Bank Transfer,Store Pickup,Yes,Yes,46,Debit Card,Bi-Weekly
166,old,Male,Coat,Accessories,11,Wyoming,M,Cyan,Fall,4.9,Yes,Debit Card,2-Day Shipping,Yes,No,25,Bank Transfer,Fortnightly
167,middle,Female,Shorts,Footwear,189,Florida,S,Lavender,Summer,1.9,No,Bank Transfer,2-Day Shipping,No,No,64,PayPal,Annually
168,middle,Female,Backpack,Footwear,138,Ohio,L,Blue,Summer,4.4,Yes,Debit Card,Next Day Air,No,No,96,Bank Transfer,Monthly
169,middle,Female,Dress,Accessories,78,Kansas,XL,Black,Summer,4.4,No,Cash,Store Pickup,No,Yes,33,PayPal,Annually
170,old,Female,Backpack,Footwear,11,Washington,XL,Olive,Summer,3.9,Yes,Venmo,Standard,No,No,93,Bank Transfer,Quarterly
171,youth,Male,Gloves,Clothing,158,North Dakota,S,White,Spring,1.2,Yes,Venmo,Express,Yes,Yes,13,Debit Card,Quarterly
172,old,Male,Skirt,Accessories,45,South Carolina,S,Beige,Fall,1.2,No,Debit Card,Express,Yes,Yes,34,Debit Card,Annually
173,middle,Male,Scarf,Accessories,99,South Dakota,XL,Olive,Winter,1.2,Yes,Bank Transfer,Standard,Yes,No,99,Venmo,Bi-Weekly
174,middle,Female,Shirt,Accessories,32,Idaho,M,White,Summer,3.6,No,Venmo,Standard,Yes,Yes,64,Bank Transfer,Weekly
175,youth,Female,Dress,Outerwear,72,Illinois,M,Pink,Fall,2.5,Yes,Debit Card,Next Day Air,Yes,No,14,Credit Card,Monthly
176,middle,Male,Pants,Footwear,157,Oregon,L,Gold,Winter,4.2,Yes,Credit Card,2-Day Shipping,No,No,68,PayPal,Fortnightly
177,youth,Male,Skirt,Clothing,126,Missouri,M,Maroon,Fall,1.2,Yes,Debit Card,Standard,No,No,18,Bank Transfer,Quarterly
178,middle,Male,Sneakers,Footwear,67,New Mexico,L,Silver,Summer,3.8,No,Debit Card,Express,Yes,No,55,Debit Card,Quarterly
179,middle,Female,Shoes,Accessories,170,Missouri,M,Charcoal,Summer,4.2,No,Bank Transfer,Free Shipping,No,Yes,42,Venmo,Annually
180,old,Male,Shorts,Footwear,27,Washington,XL,Violet,Spring,1.2,No,PayPal,Standard,No,Yes,23,Credit Card,Weekly
181,old,Female,Sunglasses,Outerwear,166,Michigan,S,Lavender,Fall,4.5,No,Debit Card,Free Shipping,No,Yes,72,Venmo,Weekly
182,old,Female,Sweater,Outerwear,180,Pennsylvania,M,Yellow,Fall,4.6,No,Bank Transfer,Store Pickup,Yes,No,37,PayPal,Monthly
183,old,Female,Handbag,Footwear,39,Nevada,L,Indigo,Winter,4.2,No,Bank Transfer,Express,Yes,No,29,Debit Card,Quarterly
184,youth,Female,Belt,Accessories,31,Kansas,L,Charcoal,Summer,1.3,Yes,Venmo,Next Day Air,Yes,No,11,Venmo,Every 3 Months
185,middle,Female,Hat,Outerwear,115,Maryland,S,Beige,Fall,3.8,No,PayPal,2-Day Shipping,Yes,No,28,Cash,Annually
